INFO 2024-08-11 23:13:10,762 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-11 23:13:10,762 autoreload Waiting for apps ready_event.
DEBUG 2024-08-11 23:13:10,794 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-11 23:13:10,891 autoreload Watching dir C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\crispy_bootstrap4\templates with glob **/*.
DEBUG 2024-08-11 23:13:10,891 autoreload Watching dir C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\Inventory-Management-System-Django-AWS\templates with glob **/*.
DEBUG 2024-08-11 23:13:10,891 autoreload Watching dir C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\Inventory-Management-System-Django-AWS\locale with glob **/*.mo.
DEBUG 2024-08-11 23:13:10,891 autoreload Watching dir C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\Inventory-Management-System-Django-AWS\dashboard\locale with glob **/*.mo.
DEBUG 2024-08-11 23:13:10,891 autoreload Watching dir C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\Inventory-Management-System-Django-AWS\user\locale with glob **/*.mo.
DEBUG 2024-08-11 23:13:10,891 autoreload Watching dir C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\crispy_forms\locale with glob **/*.mo.
DEBUG 2024-08-11 23:13:10,891 autoreload Watching dir C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\crispy_bootstrap4\locale with glob **/*.mo.
DEBUG 2024-08-11 23:13:11,074 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1721518751.148515
DEBUG 2024-08-11 23:13:11,076 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\crispy_forms\exceptions.py first seen with mtime 1721518756.3187497
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\Inventory-Management-System-Django-AWS\inventory_main\settings.py first seen with mtime 1723414380.813416
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\template\engine.py first seen with mtime 1721518751.1435015
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\lzma.py first seen with mtime 1692885552.0
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1721518748.52771
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py first seen with mtime 1692885550.0
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\tokenize.py first seen with mtime 1692885552.0
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\forms\models.py first seen with mtime 1721518751.0214639
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\difflib.py first seen with mtime 1692885550.0
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1721518751.148515
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1721518750.9902132
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1721518750.9120395
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\db\backends\mysql\validation.py first seen with mtime 1721518750.927667
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1721518750.9902132
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\pymysql\charset.py first seen with mtime 1721518741.6529539
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\uuid.py first seen with mtime 1692885552.0
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1721518747.7123914
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1721518750.8178189
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\pymysql\_auth.py first seen with mtime 1721518741.6529539
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\json\__init__.py first seen with mtime 1692885552.0
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1721518751.179777
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\forms\fields.py first seen with mtime 1721518751.0058396
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1721518750.8020267
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1721518741.3447628
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1721518747.7280147
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\template\backends\django.py first seen with mtime 1721518751.148515
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\pickle.py first seen with mtime 1692885552.0
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1721518748.3232713
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1721518750.7704282
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1721518741.3447628
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1721518751.2145686
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\sqlparse\sql.py first seen with mtime 1721518741.3447628
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\Inventory-Management-System-Django-AWS\dashboard\urls.py first seen with mtime 1721518124.0221455
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1721518741.3447628
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1721518751.148515
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python311\Lib\types.py first seen with mtime 1692885552.0
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1721518750.8495288
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1721518751.1963277
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1721518747.7280147
DEBUG 2024-08-11 23:13:11,076 autoreload File C:\Users\HP\Documents\NCI Sem 2\Prajwal\prajwal-project\env\Lib\site-packages\django\utils\crypto.py first seen with mtime 1721518751.179777
